[2023-10-11 22:08:57,125: Type-> INFO: File-> data_ingestion: Message-> Downloaded data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:08:57,804: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage completed]
[2023-10-11 22:08:57,804: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:08:57,804: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model started]
[2023-10-11 22:08:57,807: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:08:57,810: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:08:57,811: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:08:57,811: Type-> INFO: File-> common: Message-> created directory at: artifacts/prepare_base_model]
[2023-10-11 22:08:58,382: Type-> WARNING: File-> saving_utils: Message-> Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-11 22:08:58,724: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model completed]
[2023-10-11 22:08:58,724: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:08:58,724: Type-> INFO: File-> main: Message-> >>>>>> Stage Training]
[2023-10-11 22:08:58,724: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:08:58,724: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:08:58,724: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:08:58,730: Type-> INFO: File-> common: Message-> created directory at: artifacts\training]
[2023-10-11 22:09:25,558: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage started]
[2023-10-11 22:09:25,558: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:09:25,558: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:09:25,558: Type-> INFO: File-> common: Message-> created directory at: artifacts]
[2023-10-11 22:09:25,558: Type-> INFO: File-> common: Message-> created directory at: artifacts/data_ingestion]
[2023-10-11 22:09:25,570: Type-> INFO: File-> data_ingestion: Message-> Downloading data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:09:31,908: Type-> INFO: File-> data_ingestion: Message-> Downloaded data from https://drive.google.com/file/d/1eWjR0ZA6vCEAw-PTfleqich5HoDqFqP7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-11 22:09:32,528: Type-> INFO: File-> main: Message-> >>>>>> Stage Data Ingestion stage completed]
[2023-10-11 22:09:32,528: Type-> INFO: File-> main: Message-> *******************]
[2023-10-11 22:09:32,528: Type-> INFO: File-> main: Message-> >>>>>> Stage Prepare base model started]
[2023-10-11 22:09:32,530: Type-> INFO: File-> common: Message-> yaml file: config\config.yaml loaded successfully]
[2023-10-11 22:09:32,530: Type-> INFO: File-> common: Message-> yaml file: params.yaml loaded successfully]
[2023-10-11 22:09:32,530: Type-> INFO: File-> common: Message-> created directory at: artifacts]
